event_time,available_time,retrieval_time,open,high,low,close,adj_close,volume
2016-01-01 00:00:00+00:00,2016-01-02T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,26639.412109375,26639.412109375,26639.412109375,26639.412109375,26631.296875,0
2016-01-04 00:00:00+00:00,2016-01-05T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,26136.78125,26262.439453125,25508.494140625,25885.466796875,25877.58203125,14593291
2016-01-05 00:00:00+00:00,2016-01-06T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,26011.125,26073.828125,25383.087890625,25571.0703125,25563.283203125,12406586
2016-01-06 00:00:00+00:00,2016-01-07T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,25269.744140625,25753.77734375,24943.03515625,25131.39453125,25123.73828125,13206140
2016-01-07 00:00:00+00:00,2016-01-08T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24628.890625,24753.166015625,24017.69140625,24138.826171875,24131.474609375,18309803
2016-01-08 00:00:00+00:00,2016-01-09T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24628.890625,24696.87109375,24167.853515625,24314.74609375,24307.34375,13871949
2016-01-11 00:00:00+00:00,2016-01-12T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24074.48828125,24502.85546875,23822.544921875,24136.564453125,24129.212890625,19171724
2016-01-12 00:00:00+00:00,2016-01-13T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24074.740234375,24690.462890625,24023.59765625,24352.443359375,24345.02734375,11234879
2016-01-13 00:00:00+00:00,2016-01-14T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24867.388671875,24917.90234375,23767.6328125,23767.6328125,23760.392578125,14933023
2016-01-14 00:00:00+00:00,2016-01-15T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23969.1875,24038.173828125,22822.185546875,22995.08984375,22988.08984375,22098686
2016-01-15 00:00:00+00:00,2016-01-16T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23220.896484375,23673.892578125,22718.89453125,22857.119140625,22850.16015625,24750845
2016-01-18 00:00:00+00:00,2016-01-19T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23037.185546875,23560.548828125,22488.0625,22769.158203125,22762.224609375,11673069
2016-01-19 00:00:00+00:00,2016-01-20T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23497.97265625,24159.685546875,23275.431640625,23945.81640625,23938.525390625,11642057
2016-01-20 00:00:00+00:00,2016-01-21T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23133.69140625,23321.046875,22354.865234375,22354.865234375,22348.05859375,16581837
2016-01-21 00:00:00+00:00,2016-01-22T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22492.7109375,22575.771484375,21751.33203125,22329.35546875,22322.5546875,20893060
2016-01-22 00:00:00+00:00,2016-01-23T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23221.525390625,23520.716796875,23001.625,23520.716796875,23513.5546875,16019492
2016-01-25 00:00:00+00:00,2016-01-26T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24063.431640625,24188.837890625,22808.36328125,22869.68359375,22862.71875,18676959
2016-01-26 00:00:00+00:00,2016-01-27T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22492.7109375,23428.609375,22368.310546875,23215.1171875,23208.044921875,14263808
2016-01-27 00:00:00+00:00,2016-01-28T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23202.048828125,23803.4453125,22995.59375,23497.97265625,23490.81640625,16489380
2016-01-28 00:00:00+00:00,2016-01-29T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23497.97265625,24467.796875,23497.97265625,24327.3125,24319.90234375,27675626
2016-01-29 00:00:00+00:00,2016-01-30T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24471.818359375,25081.2578125,24025.734375,25081.2578125,25073.623046875,19516884
2016-02-01 00:00:00+00:00,2016-02-02T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,25118.955078125,25131.26953125,24390.015625,24791.7421875,24784.1953125,15725399
2016-02-02 00:00:00+00:00,2016-02-03T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24674.37890625,24836.98046875,24225.78125,24225.78125,24218.40625,6450146
2016-02-03 00:00:00+00:00,2016-02-04T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23749.287109375,24503.232421875,23525.6171875,24000.6015625,23993.29296875,18887555
2016-02-04 00:00:00+00:00,2016-02-05T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24666.587890625,24666.587890625,24030.1328125,24259.080078125,24251.689453125,13942944
2016-02-05 00:00:00+00:00,2016-02-06T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,24475.462890625,24500.34375,23882.861328125,24328.06640625,24320.65625,8167106
2016-02-08 00:00:00+00:00,2016-02-09T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,23875.0703125,24056.771484375,23162.591796875,23246.65625,23239.578125,15254556
2016-02-09 00:00:00+00:00,2016-02-10T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22995.466796875,23121.0,21424.62109375,21782.619140625,21775.986328125,28000692
2016-02-10 00:00:00+00:00,2016-02-11T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22020.23828125,22618.369140625,21839.291015625,22271.931640625,22265.1484375,21027593
2016-02-11 00:00:00+00:00,2016-02-12T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,21889.5546875,21916.947265625,21185.119140625,21261.267578125,21254.791015625,13555335
2016-02-12 00:00:00+00:00,2016-02-13T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,21550.279296875,22176.93359375,21380.892578125,21864.423828125,21857.767578125,10468709
2016-02-15 00:00:00+00:00,2016-02-16T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22429.8828125,22555.5390625,22115.73828125,22492.7109375,22485.86328125,11727185
2016-02-16 00:00:00+00:00,2016-02-17T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22618.369140625,22744.02734375,22367.4296875,22492.7109375,22485.86328125,6650620
2016-02-17 00:00:00+00:00,2016-02-18T00:00:00+00:00,2026-09-03T11:15:03.742310+00:00,22473.359375,23057.919921875,22254.212890625,22918.81640625,22911.837890625,8630134
